work_year,salary_in_usd,rn,cumulative_salary
2020,79833,1,79833
2020,35735,2,35735
2020,51321,3,51321
2020,40481,4,40481
2020,39916,5,39916
2020,68428,6,68428
2020,45760,7,45760
2020,76958,8,76958
2020,105000,9,105000
2020,38776,10,38776
2020,118000,11,118000
2020,120000,12,120000
2020,138350,13,138350
2020,21669,14,21669
2020,412000,15,412000
2020,62726,16,62726
2020,49268,17,49268
2020,105000,18,105000
2020,91237,19,91237
2020,62726,20,62726
2020,42197,21,42197
2021,53192,22,53192
2021,29751,23,29751
2021,73000,24,73000
2021,50000,25,50000
2021,9466,26,9466
2021,49646,27,49646
2021,100000,28,100000
2021,80000,29,80000
2021,82500,30,82500
2021,150000,31,150000
2021,75774,32,75774
2021,13400,33,13400
2021,119059,34,119059
2021,2859,35,2859
2021,40038,36,40038
2021,5679,37,5679
2021,90734,38,90734
2021,147000,39,147000
2021,61467,40,61467
2021,37825,41,37825
2021,160000,42,160000
2021,12901,43,12901
2021,90734,44,90734
2021,116914,45,116914
2021,33808,46,33808
2021,56256,47,56256
2021,87738,48,87738
2021,88654,49,88654
2021,135000,50,135000
2021,46809,51,46809
2021,4000,52,4000
2021,103691,53,103691
2021,165000,54,165000
2021,36643,55,36643
2021,115000,56,115000
2021,90000,57,90000
2021,28399,58,28399
2021,130000,59,130000
2021,16904,60,16904
2021,25532,61,25532
2021,77684,62,77684
2021,100000,63,100000
2021,58000,64,58000
2021,20171,65,20171
2021,109000,66,109000
2022,130000,67,130000
2022,90000,68,90000
2022,136620,69,136620
2022,99360,70,99360
2022,117789,71,117789
2022,104702,72,104702
2022,146000,73,146000
2022,123000,74,123000
2022,65438,75,65438
2022,39263,76,39263
2022,165220,77,165220
2022,120160,78,120160
2022,180000,79,180000
2022,120000,80,120000
2022,95550,81,95550
2022,167000,82,167000
2022,123000,83,123000
2022,150000,84,150000
2022,211500,85,211500
2022,138600,86,138600
2022,170000,87,170000
2022,123000,88,123000
2022,215300,89,215300
2022,158200,90,158200
2022,180000,91,180000
2022,71982,92,71982
2022,45807,93,45807
2022,260000,94,260000
2022,180000,95,180000
2022,80000,96,80000
2022,140400,97,140400
2022,215300,98,215300
2022,31615,99,31615
2022,18442,100,18442
2022,104890,101,104890
2022,140000,102,140000
2022,220000,103,220000
2022,140000,104,140000
2022,183228,105,183228
2022,91614,106,91614
2022,185100,107,185100
2022,200000,108,200000
2022,120000,109,120000
2022,230000,110,230000
2022,100000,111,100000
2022,100000,112,100000
2022,35590,113,35590
2022,100000,114,100000
2022,165000,115,165000
2022,52396,116,52396
2022,40000,117,40000
2022,86703,118,86703
2022,48000,119,48000
2022,122346,120,122346
2022,69336,121,69336
2022,135000,122,135000
2022,78000,123,78000
2022,141300,124,141300
2022,102100,125,102100
2022,205300,126,205300
