job_title,max_salary
"Data Scientist",412000
"Machine Learning Scientist",260000
"Big Data Engineer",114047
"Product Data Analyst",20000
"Machine Learning Engineer",250000
"Data Analyst",200000
"Lead Data Scientist",190000
"Business Data Analyst",135000
"Lead Data Engineer",276000
"Lead Data Analyst",170000
"Data Engineer",324000
"Data Science Consultant",103000
"BI Data Analyst",150000
"Director of Data Science",325000
"Research Scientist",450000
"Machine Learning Manager",117104
"Data Engineering Manager",174000
"Machine Learning Infrastructure Engineer",195000
"ML Engineer",270000
"AI Scientist",200000
"Computer Vision Engineer",125000
"Principal Data Scientist",416000
"Data Science Manager",241000
"Head of Data",235000
"3D Computer Vision Researcher",5409
"Data Analytics Engineer",110000
"Applied Data Scientist",380000
"Marketing Data Analyst",88654
"Cloud Data Engineer",160000
"Financial Data Analyst",450000
"Computer Vision Software Engineer",150000
"Director of Data Engineering",200000
"Data Science Engineer",127221
"Principal Data Engineer",600000
"Machine Learning Developer",100000
"Applied Machine Learning Scientist",423000
"Data Analytics Manager",150260
"Head of Data Science",224000
"Data Specialist",165000
"Data Architect",266400
"Finance Data Analyst",61896
"Principal Data Analyst",170000
"Big Data Architect",99703
"Staff Data Scientist",105000
"Analytics Engineer",205300
"ETL Developer",54957
"Head of Machine Learning",79039
"NLP Engineer",37236
"Lead Machine Learning Engineer",87932
"Data Analytics Lead",405000
