MyUnknownColumn,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2020,SE,FT,"Machine Learning Scientist",260000,USD,260000,JP,0,JP,S
4,2020,SE,FT,"Machine Learning Engineer",150000,USD,150000,US,50,US,L
5,2020,EN,FT,"Data Analyst",72000,USD,72000,US,100,US,L
6,2020,SE,FT,"Lead Data Scientist",190000,USD,190000,US,100,US,S
8,2020,MI,FT,"Business Data Analyst",135000,USD,135000,US,100,US,L
9,2020,SE,FT,"Lead Data Engineer",125000,USD,125000,NZ,50,NZ,S
13,2020,MI,FT,"Lead Data Analyst",87000,USD,87000,US,100,US,L
14,2020,MI,FT,"Data Analyst",85000,USD,85000,US,100,US,L
23,2020,MI,FT,"BI Data Analyst",98000,USD,98000,US,0,US,M
24,2020,MI,FT,"Lead Data Scientist",115000,USD,115000,AE,0,AE,L
25,2020,EX,FT,"Director of Data Science",325000,USD,325000,US,100,US,L
28,2020,EN,CT,"Business Data Analyst",100000,USD,100000,US,100,US,L
31,2020,EN,FT,"Big Data Engineer",70000,USD,70000,US,100,US,L
33,2020,MI,FT,"Research Scientist",450000,USD,450000,US,0,US,M
36,2020,MI,FT,"Data Science Consultant",103000,USD,103000,US,100,US,L
37,2020,EN,FT,"Machine Learning Engineer",250000,USD,250000,US,50,US,L
39,2020,EN,FT,"Machine Learning Engineer",138000,USD,138000,US,100,US,S
43,2020,MI,FT,"Data Engineer",106000,USD,106000,US,100,US,L
47,2020,SE,FT,"Data Engineer",188000,USD,188000,US,100,US,L
48,2020,MI,FT,"Data Scientist",105000,USD,105000,US,100,US,L
51,2020,EN,FT,"Data Analyst",91000,USD,91000,US,100,US,L
54,2020,SE,FL,"Computer Vision Engineer",60000,USD,60000,RU,100,US,S
57,2020,MI,FT,"Data Scientist",118000,USD,118000,US,100,US,M
58,2020,SE,FT,"Data Scientist",120000,USD,120000,US,50,US,L
59,2020,MI,FT,"Data Scientist",138350,USD,138350,US,100,US,M
60,2020,MI,FT,"Data Engineer",110000,USD,110000,US,100,US,L
61,2020,MI,FT,"Data Engineer",130800,USD,130800,ES,100,US,M
63,2020,SE,FT,"Data Scientist",412000,USD,412000,US,100,US,L
67,2020,SE,FT,"Data Science Manager",190200,USD,190200,US,100,US,M
68,2020,EN,FT,"Data Scientist",105000,USD,105000,US,100,US,S
73,2021,EX,FT,"BI Data Analyst",150000,USD,150000,IN,100,US,L
74,2021,EX,FT,"Head of Data",235000,USD,235000,US,100,US,L
76,2021,MI,FT,"BI Data Analyst",100000,USD,100000,US,100,US,M
78,2021,MI,CT,"ML Engineer",270000,USD,270000,US,100,US,L
79,2021,EN,FT,"Data Analyst",80000,USD,80000,US,100,US,M
81,2021,MI,FT,"Data Engineer",140000,USD,140000,US,100,US,L
87,2021,MI,FT,"Data Analytics Engineer",110000,USD,110000,US,100,US,L
88,2021,SE,FT,"Lead Data Analyst",170000,USD,170000,US,100,US,L
89,2021,SE,FT,"Data Analyst",80000,USD,80000,BG,100,US,S
93,2021,SE,FT,"Lead Data Engineer",276000,USD,276000,US,0,US,L
97,2021,MI,FT,"Financial Data Analyst",450000,USD,450000,US,100,US,L
98,2021,EN,FT,"Computer Vision Software Engineer",70000,USD,70000,US,100,US,M
100,2021,MI,FT,"Data Analyst",75000,USD,75000,US,0,US,L
101,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,L
103,2021,MI,FT,"Data Analyst",62000,USD,62000,US,0,US,L
104,2021,MI,FT,"Data Scientist",73000,USD,73000,US,0,US,L
107,2021,SE,FT,"Data Engineer",115000,USD,115000,US,100,US,S
108,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,M
115,2021,EN,FT,"Machine Learning Scientist",225000,USD,225000,US,100,US,L
118,2021,EN,FT,"Data Analyst",90000,USD,90000,US,100,US,S
119,2021,MI,FT,"Data Engineer",200000,USD,200000,US,100,US,L
120,2021,MI,FT,"Big Data Engineer",60000,USD,60000,ES,50,RO,M
121,2021,SE,FT,"Principal Data Engineer",200000,USD,200000,US,100,US,M
125,2021,MI,FT,"Principal Data Scientist",151000,USD,151000,US,100,US,L
126,2021,SE,FT,"Machine Learning Scientist",120000,USD,120000,US,50,US,S
130,2021,EN,FT,"Machine Learning Developer",100000,USD,100000,IQ,50,IQ,S
134,2021,EN,FT,"Data Scientist",100000,USD,100000,US,0,US,S
135,2021,MI,FT,"Data Analyst",90000,USD,90000,US,100,US,M
138,2021,SE,FT,"Principal Data Scientist",220000,USD,220000,US,0,US,L
139,2021,EN,FT,"Data Scientist",80000,USD,80000,US,100,US,M
140,2021,MI,FT,"Data Analyst",135000,USD,135000,US,100,US,L
141,2021,SE,FT,"Data Science Manager",240000,USD,240000,US,0,US,L
142,2021,SE,FT,"Data Engineering Manager",150000,USD,150000,US,0,US,L
143,2021,MI,FT,"Data Scientist",82500,USD,82500,US,100,US,S
144,2021,MI,FT,"Data Engineer",100000,USD,100000,US,100,US,L
147,2021,MI,FT,"Data Engineer",90000,USD,90000,US,100,US,L
148,2021,SE,FT,"Data Engineering Manager",153000,USD,153000,US,100,US,L
149,2021,SE,FT,"Cloud Data Engineer",160000,USD,160000,BR,100,US,S
150,2021,SE,FT,"Director of Data Science",168000,USD,168000,JP,0,JP,S
151,2021,MI,FT,"Data Scientist",150000,USD,150000,US,100,US,M
154,2021,SE,FT,"Data Science Manager",144000,USD,144000,US,100,US,L
157,2021,MI,FT,"Applied Machine Learning Scientist",423000,USD,423000,US,50,US,L
158,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,100,US,M
159,2021,EN,FT,"Machine Learning Engineer",125000,USD,125000,US,100,US,S
160,2021,EX,FT,"Head of Data",230000,USD,230000,RU,50,RU,L
161,2021,EX,FT,"Head of Data Science",85000,USD,85000,RU,0,RU,M
165,2021,SE,FT,"Data Specialist",165000,USD,165000,US,100,US,L
166,2021,EN,FT,"Data Engineer",80000,USD,80000,US,100,US,L
167,2021,EX,FT,"Director of Data Science",250000,USD,250000,US,0,US,L
169,2021,MI,FT,"Data Architect",150000,USD,150000,US,100,US,L
170,2021,MI,FT,"Data Architect",170000,USD,170000,US,100,US,L
172,2021,EN,FT,"Data Analyst",60000,USD,60000,US,100,US,S
173,2021,SE,FT,"Principal Data Scientist",235000,USD,235000,US,100,US,L
175,2021,SE,FT,"Data Engineering Manager",174000,USD,174000,US,100,US,L
178,2021,EN,FT,"Machine Learning Engineer",81000,USD,81000,US,50,US,S
189,2021,MI,FT,"Machine Learning Engineer",74000,USD,74000,JP,50,JP,S
190,2021,SE,FT,"Data Science Manager",152000,USD,152000,US,100,FR,L
193,2021,SE,FT,"Data Science Manager",174000,USD,174000,US,100,US,L
195,2021,MI,FT,"Data Scientist",147000,USD,147000,US,50,US,L
199,2021,EN,FT,"Data Science Consultant",90000,USD,90000,US,100,US,S
201,2021,SE,FT,"Machine Learning Infrastructure Engineer",195000,USD,195000,US,100,US,M
204,2021,MI,FT,"Data Scientist",160000,USD,160000,US,100,US,L
206,2021,SE,FT,"Machine Learning Engineer",200000,USD,200000,US,100,US,L
207,2021,SE,FT,"Data Engineer",165000,USD,165000,US,0,US,M
209,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,0,US,L
215,2021,SE,FT,"Principal Data Engineer",185000,USD,185000,US,100,US,L
219,2021,SE,FT,"Data Analytics Manager",140000,USD,140000,US,100,US,L
224,2021,SE,FT,"Machine Learning Scientist",225000,USD,225000,US,100,CA,L
225,2021,EX,CT,"Principal Data Scientist",416000,USD,416000,US,100,US,S
228,2021,SE,FT,"Data Scientist",135000,USD,135000,US,0,US,L
231,2021,SE,FT,"ML Engineer",256000,USD,256000,US,100,US,S
232,2021,SE,FT,"Director of Data Engineering",200000,USD,200000,US,100,US,L
233,2021,SE,FT,"Data Analyst",200000,USD,200000,US,100,US,L
234,2021,MI,FT,"Data Architect",180000,USD,180000,US,100,US,L
235,2021,MI,FT,"Head of Data Science",110000,USD,110000,US,0,US,S
241,2021,MI,FT,"Data Analyst",80000,USD,80000,US,100,US,L
242,2021,MI,FT,"Data Engineer",110000,USD,110000,US,100,US,L
243,2021,SE,FT,"Data Scientist",165000,USD,165000,US,100,US,L
249,2021,SE,FT,"Principal Data Analyst",170000,USD,170000,US,100,US,M
250,2021,MI,FT,"Data Scientist",115000,USD,115000,US,50,US,L
251,2021,EN,FT,"Data Scientist",90000,USD,90000,US,100,US,S
252,2021,EX,FT,"Principal Data Engineer",600000,USD,600000,US,100,US,L
254,2021,MI,FT,"Data Analyst",93000,USD,93000,US,100,US,L
256,2021,MI,FT,"Data Engineer",200000,USD,200000,US,100,US,L
258,2021,SE,FT,"Machine Learning Engineer",185000,USD,185000,US,50,US,L
260,2021,MI,FT,"Data Scientist",130000,USD,130000,US,50,US,L
265,2021,SE,FT,"Lead Data Engineer",160000,USD,160000,PR,50,US,S
266,2021,MI,FT,"Data Engineer",93150,USD,93150,US,0,US,M
267,2021,MI,FT,"Data Engineer",111775,USD,111775,US,0,US,M
270,2021,EN,FT,"Data Engineer",72500,USD,72500,US,100,US,L
273,2021,EN,FT,"Machine Learning Engineer",85000,USD,85000,NL,100,DE,S
275,2021,EN,FT,"Data Scientist",100000,USD,100000,US,100,US,M
276,2021,EN,FT,"Data Scientist",58000,USD,58000,US,50,US,L
280,2021,MI,FT,"Data Engineer",112000,USD,112000,US,100,US,L
281,2021,EN,FT,"Research Scientist",100000,USD,100000,JE,0,CN,L
283,2021,SE,CT,"Staff Data Scientist",105000,USD,105000,US,100,US,M
284,2021,MI,FT,"Research Scientist",69999,USD,69999,CZ,50,CZ,L
287,2021,MI,FT,"Data Scientist",109000,USD,109000,US,50,US,L
289,2022,SE,FT,"Data Engineer",135000,USD,135000,US,100,US,M
290,2022,SE,FT,"Data Analyst",155000,USD,155000,US,100,US,M
291,2022,SE,FT,"Data Analyst",120600,USD,120600,US,100,US,M
292,2022,MI,FT,"Data Scientist",130000,USD,130000,US,0,US,M
293,2022,MI,FT,"Data Scientist",90000,USD,90000,US,0,US,M
294,2022,MI,FT,"Data Engineer",170000,USD,170000,US,100,US,M
295,2022,MI,FT,"Data Engineer",150000,USD,150000,US,100,US,M
296,2022,SE,FT,"Data Analyst",102100,USD,102100,US,100,US,M
297,2022,SE,FT,"Data Analyst",84900,USD,84900,US,100,US,M
298,2022,SE,FT,"Data Scientist",136620,USD,136620,US,100,US,M
299,2022,SE,FT,"Data Scientist",99360,USD,99360,US,100,US,M
302,2022,SE,FT,"Data Scientist",146000,USD,146000,US,100,US,M
303,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M
305,2022,SE,FT,"Data Analyst",99000,USD,99000,US,0,US,M
306,2022,SE,FT,"Data Analyst",116000,USD,116000,US,0,US,M
307,2022,MI,FT,"Data Analyst",106260,USD,106260,US,0,US,M
308,2022,MI,FT,"Data Analyst",126500,USD,126500,US,0,US,M
309,2022,EX,FT,"Data Engineer",242000,USD,242000,US,100,US,M
310,2022,EX,FT,"Data Engineer",200000,USD,200000,US,100,US,M
315,2022,SE,FT,"Data Scientist",165220,USD,165220,US,100,US,M
317,2022,SE,FT,"Data Scientist",120160,USD,120160,US,100,US,M
318,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
319,2022,SE,FT,"Data Engineer",181940,USD,181940,US,0,US,M
320,2022,SE,FT,"Data Engineer",132320,USD,132320,US,0,US,M
321,2022,SE,FT,"Data Engineer",220110,USD,220110,US,0,US,M
322,2022,SE,FT,"Data Engineer",160080,USD,160080,US,0,US,M
323,2022,SE,FT,"Data Scientist",180000,USD,180000,US,0,US,L
324,2022,SE,FT,"Data Scientist",120000,USD,120000,US,0,US,L
325,2022,SE,FT,"Data Analyst",124190,USD,124190,US,100,US,M
326,2022,EX,FT,"Data Analyst",130000,USD,130000,US,100,US,M
327,2022,EX,FT,"Data Analyst",110000,USD,110000,US,100,US,M
328,2022,SE,FT,"Data Analyst",170000,USD,170000,US,100,US,M
329,2022,MI,FT,"Data Analyst",115500,USD,115500,US,100,US,M
330,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M
331,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
