MyUnknownColumn,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,FT,"Data Scientist",70000,EUR,79833,DE,0,DE,L
6,2020,SE,FT,"Lead Data Scientist",190000,USD,190000,US,100,US,S
7,2020,MI,FT,"Data Scientist",11000000,HUF,35735,HU,50,HU,L
10,2020,EN,FT,"Data Scientist",45000,EUR,51321,FR,0,FR,S
11,2020,MI,FT,"Data Scientist",3000000,INR,40481,IN,0,IN,L
12,2020,EN,FT,"Data Scientist",35000,EUR,39916,FR,0,FR,M
24,2020,MI,FT,"Lead Data Scientist",115000,USD,115000,AE,0,AE,L
32,2020,SE,FT,"Data Scientist",60000,EUR,68428,GR,100,US,L
40,2020,MI,FT,"Data Scientist",45760,USD,45760,PH,100,US,S
46,2020,MI,FT,"Data Scientist",60000,GBP,76958,GB,100,GB,S
48,2020,MI,FT,"Data Scientist",105000,USD,105000,US,100,US,L
55,2020,SE,FT,"Principal Data Scientist",130000,EUR,148261,DE,100,DE,M
56,2020,MI,FT,"Data Scientist",34000,EUR,38776,ES,100,ES,M
57,2020,MI,FT,"Data Scientist",118000,USD,118000,US,100,US,M
58,2020,SE,FT,"Data Scientist",120000,USD,120000,US,50,US,L
59,2020,MI,FT,"Data Scientist",138350,USD,138350,US,100,US,M
62,2020,EN,PT,"Data Scientist",19000,EUR,21669,IT,50,IT,S
63,2020,SE,FT,"Data Scientist",412000,USD,412000,US,100,US,L
65,2020,EN,FT,"Data Scientist",55000,EUR,62726,DE,50,DE,S
66,2020,EN,FT,"Data Scientist",43200,EUR,49268,DE,0,DE,S
68,2020,EN,FT,"Data Scientist",105000,USD,105000,US,100,US,S
69,2020,SE,FT,"Data Scientist",80000,EUR,91237,AT,0,AT,S
70,2020,MI,FT,"Data Scientist",55000,EUR,62726,FR,50,LU,S
71,2020,MI,FT,"Data Scientist",37000,EUR,42197,FR,50,FR,S
75,2021,SE,FT,"Data Scientist",45000,EUR,53192,FR,50,FR,L
82,2021,MI,FT,"Applied Data Scientist",68000,CAD,54238,GB,50,CA,L
94,2021,EN,FT,"Data Scientist",2200000,INR,29751,IN,50,IN,L
104,2021,MI,FT,"Data Scientist",73000,USD,73000,US,0,US,L
