experience_level,employment_type,job_title,salary_in_usd,popularity
EX,FT,"Principal Data Engineer",600000,1
MI,FT,"Research Scientist",450000,2
MI,FT,"Financial Data Analyst",450000,3
MI,FT,"Applied Machine Learning Scientist",423000,4
EX,CT,"Principal Data Scientist",416000,5
SE,FT,"Data Scientist",412000,6
SE,FT,"Data Analytics Lead",405000,7
SE,FT,"Applied Data Scientist",380000,8
EX,FT,"Director of Data Science",325000,9
EX,FT,"Data Engineer",324000,10
SE,FT,"Lead Data Engineer",276000,11
MI,CT,"ML Engineer",270000,12
SE,FT,"Data Architect",266400,13
SE,FT,"Machine Learning Scientist",260000,14
SE,FT,"Data Scientist",260000,15
SE,FT,"ML Engineer",256000,16
EN,FT,"Machine Learning Engineer",250000,17
EX,FT,"Director of Data Science",250000,18
SE,FT,"Data Engineer",243900,19
EX,FT,"Data Engineer",242000,20
MI,FT,"Data Science Manager",241000,21
SE,FT,"Data Science Manager",240000,22
EX,FT,"Head of Data",235000,23
SE,FT,"Principal Data Scientist",235000,24
EX,FT,"Head of Data",230000,25
SE,FT,"Data Scientist",230000,26
SE,FT,"Data Scientist",230000,27
EN,FT,"Machine Learning Scientist",225000,28
SE,FT,"Machine Learning Scientist",225000,29
EX,FT,"Head of Data Science",224000,30
SE,FT,"Data Engineer",220110,31
SE,FT,"Data Engineer",220110,32
SE,FT,"Principal Data Scientist",220000,33
SE,FT,"Data Scientist",220000,34
SE,FT,"Machine Learning Engineer",220000,35
EX,FT,"Data Engineer",216000,36
SE,FT,"Data Scientist",215300,37
SE,FT,"Data Scientist",215300,38
SE,FT,"Machine Learning Engineer",214000,39
SE,FT,"Data Architect",213120,40
SE,FT,"Data Scientist",211500,41
SE,FT,"Data Engineer",210000,42
SE,FT,"Data Scientist",210000,43
SE,FT,"Data Scientist",210000,44
SE,FT,"Data Scientist",210000,45
SE,FT,"Data Scientist",210000,46
SE,FT,"Data Engineer",209100,47
SE,FT,"Data Engineer",209100,48
SE,FT,"Data Architect",208775,49
MI,FT,"Data Engineer",206699,50
SE,FT,"Data Scientist",205300,51
SE,FT,"Data Scientist",205300,52
SE,FT,"Analytics Engineer",205300,53
SE,FT,"Data Engineer",200100,54
MI,FT,"Data Engineer",200000,55
SE,FT,"Principal Data Engineer",200000,56
SE,FT,"Machine Learning Engineer",200000,57
SE,FT,"Director of Data Engineering",200000,58
SE,FT,"Data Analyst",200000,59
MI,FT,"Data Engineer",200000,60
EX,FT,"Data Engineer",200000,61
MI,FT,"Data Scientist",200000,62
SE,FT,"Head of Data",200000,63
MI,FT,"AI Scientist",200000,64
EX,FT,"Director of Data Science",196979,65
SE,FT,"Machine Learning Infrastructure Engineer",195000,66
SE,FT,"Machine Learning Engineer",192600,67
SE,FT,"Data Architect",192564,68
SE,FT,"Data Architect",192400,69
SE,FT,"Data Science Manager",190200,70
SE,FT,"Lead Data Scientist",190000,71
SE,FT,"Machine Learning Engineer",189650,72
SE,FT,"Machine Learning Engineer",189650,73
SE,FT,"Data Engineer",188000,74
MI,FT,"Research Scientist",187442,75
SE,FT,"Data Scientist",185100,76
SE,FT,"Principal Data Engineer",185000,77
SE,FT,"Machine Learning Engineer",185000,78
SE,FT,"Analytics Engineer",184700,79
SE,FT,"Data Engineer",183600,80
MI,FT,"Data Scientist",183228,81
SE,FT,"Data Engineer",181940,82
MI,FT,"Data Architect",180000,83
SE,FT,"Data Scientist",180000,84
SE,FT,"Data Scientist",180000,85
SE,FT,"Data Scientist",180000,86
SE,FT,"Data Engineer",180000,87
SE,FT,"Applied Data Scientist",177000,88
SE,FT,"Data Scientist",176000,89
SE,FT,"Data Engineer",175100,90
EX,FT,"Analytics Engineer",175000,91
SE,FT,"Data Engineer",175000,92
SE,FT,"Data Engineering Manager",174000,93
SE,FT,"Data Science Manager",174000,94
SE,FT,"Principal Data Scientist",173762,95
SE,FT,"Lead Data Analyst",170000,96
MI,FT,"Data Architect",170000,97
SE,FT,"Principal Data Analyst",170000,98
MI,FT,"Data Engineer",170000,99
SE,FT,"Data Analyst",170000,100
SE,FT,"Data Scientist",170000,101
SE,FT,"Data Analyst",170000,102
SE,FT,"Data Analyst",170000,103
SE,FT,"Director of Data Science",168000,104
EX,FT,"Head of Data Science",167875,105
MI,FT,"Data Analyst",167000,106
SE,FT,"Data Scientist",167000,107
SE,FT,"Data Engineer",165400,108
SE,FT,"Data Engineer",165400,109
SE,FT,"Data Scientist",165220,110
SE,FT,"Data Specialist",165000,111
SE,FT,"Data Engineer",165000,112
SE,FT,"Data Scientist",165000,113
SE,FT,"Data Scientist",165000,114
SE,FT,"Machine Learning Engineer",164996,115
SE,FT,"Machine Learning Engineer",164996,116
SE,FT,"Data Analyst",164000,117
SE,FT,"Principal Data Scientist",162674,118
SE,FT,"Data Science Manager",161342,119
SE,FT,"Data Engineer",160080,120
SE,FT,"Data Engineer",160080,121
SE,FT,"Cloud Data Engineer",160000,122
MI,FT,"Data Scientist",160000,123
SE,FT,"Lead Data Engineer",160000,124
SE,FT,"Data Engineer",160000,125
MI,FT,"Machine Learning Scientist",160000,126
SE,FT,"Data Engineer",160000,127
SE,FT,"Data Engineer",160000,128
MI,FT,"Data Scientist",160000,129
MI,FT,"Data Science Manager",159000,130
SE,FT,"Data Scientist",158200,131
MI,FT,"Applied Data Scientist",157000,132
SE,FT,"Data Engineer",156600,133
SE,FT,"Data Analyst",155000,134
SE,FT,"Data Engineer",155000,135
SE,FT,"Data Engineer",155000,136
SE,FT,"Data Engineer",154600,137
SE,FT,"Data Engineer",154600,138
SE,FT,"Data Engineer",154000,139
EX,FT,"Director of Data Science",153667,140
SE,FT,"Data Engineering Manager",153000,141
MI,FT,"Machine Learning Scientist",153000,142
SE,FT,"Data Science Manager",152500,143
SE,FT,"Data Science Manager",152000,144
MI,FT,"Principal Data Scientist",151000,145
SE,FT,"Data Analytics Manager",150260,146
SE,FT,"Data Analyst",150075,147
SE,FT,"Machine Learning Engineer",150000,148
EX,FT,"BI Data Analyst",150000,149
SE,FT,"Data Engineer",150000,150
SE,FT,"Data Engineer",150000,151
SE,FT,"Data Engineering Manager",150000,152
MI,FT,"Data Scientist",150000,153
MI,FT,"Data Architect",150000,154
MI,FT,"Data Engineer",150000,155
SE,FT,"Data Scientist",150000,156
EN,FT,"Computer Vision Software Engineer",150000,157
SE,FT,"Data Scientist",150000,158
SE,FT,"Data Analyst",150000,159
SE,FT,"Principal Data Scientist",148261,160
SE,FT,"Data Architect",147800,161
MI,FT,"Data Scientist",147000,162
SE,FT,"Data Scientist",146000,163
SE,FT,"Data Analytics Manager",145000,164
SE,FT,"Data Engineer",145000,165
SE,FT,"Data Architect",144854,166
SE,FT,"Data Science Manager",144000,167
SE,FT,"Research Scientist",144000,168
SE,FT,"Data Scientist",144000,169
EX,FT,"Director of Data Science",141846,170
MI,FT,"Data Scientist",141300,171
SE,FT,"Data Scientist",140400,172
SE,FT,"Data Scientist",140400,173
SE,FT,"Data Scientist",140400,174
SE,FT,"Data Engineer",140250,175
MI,FT,"Data Engineer",140000,176
SE,FT,"Data Analytics Manager",140000,177
SE,FT,"Data Scientist",140000,178
SE,FT,"Data Scientist",140000,179
SE,FT,"Data Scientist",140000,180
SE,FT,"Data Scientist",140000,181
SE,FT,"Data Scientist",140000,182
SE,FT,"Data Scientist",140000,183
SE,FT,"Data Scientist",138600,184
MI,FT,"Data Scientist",138350,185
EN,FT,"Machine Learning Engineer",138000,186
SE,FT,"Data Science Manager",137141,187
SE,FT,"Data Engineer",136994,188
SE,FT,"Data Scientist",136620,189
SE,FT,"Data Analyst",136600,190
SE,FT,"Data Engineer",136000,191
MI,FT,"Business Data Analyst",135000,192
MI,FT,"Data Analyst",135000,193
SE,FT,"Data Scientist",135000,194
SE,FT,"Data Engineer",135000,195
SE,FT,"Data Analyst",135000,196
EX,FT,"Analytics Engineer",135000,197
MI,FT,"Data Analyst",135000,198
MI,FT,"Data Scientist",135000,199
SE,FT,"Data Analyst",135000,200
SE,FT,"Data Engineer",132320,201
SE,FT,"Data Engineer",132320,202
SE,FT,"Data Engineer",132320,203
SE,FT,"Data Analyst",132000,204
MI,FT,"Data Engineer",130800,205
EX,FT,"Director of Data Science",130026,206
MI,FT,"Data Scientist",130000,207
MI,FT,"Data Scientist",130000,208
EX,FT,"Data Analyst",130000,209
SE,FT,"Data Analyst",130000,210
SE,FT,"Data Analyst",130000,211
SE,FT,"Data Engineer",130000,212
SE,FT,"Data Engineer",130000,213
MI,FT,"Data Scientist",130000,214
SE,FT,"Data Analyst",129000,215
SE,FT,"Data Engineer",128875,216
SE,FT,"Data Analyst",128875,217
SE,FT,"Data Science Engineer",127221,218
MI,FT,"Data Analyst",126500,219
SE,FT,"Data Analyst",126500,220
SE,FT,"Data Engineer",126000,221
SE,FT,"Lead Data Engineer",125000,222
EN,FT,"Machine Learning Engineer",125000,223
EN,FT,"Computer Vision Engineer",125000,224
MI,FT,"Machine Learning Engineer",124333,225
SE,FT,"Data Analyst",124190,226
SE,FT,"Data Scientist",123000,227
SE,FT,"Data Scientist",123000,228
SE,FT,"Data Scientist",123000,229
MI,FT,"Data Scientist",122346,230
SE,FT,"Data Analyst",120600,231
SE,FT,"Data Scientist",120160,232
SE,FT,"Data Scientist",120000,233
SE,FT,"Machine Learning Scientist",120000,234
SE,FT,"Data Analytics Manager",120000,235
SE,FT,"Data Analytics Manager",120000,236
SE,FT,"Data Scientist",120000,237
MI,FT,"AI Scientist",120000,238
MI,FT,"Machine Learning Engineer",120000,239
EN,FT,"Data Engineer",120000,240
MI,FT,"Data Scientist",120000,241
SE,FT,"Machine Learning Engineer",120000,242
SE,FT,"Machine Learning Engineer",120000,243
EN,FT,"Research Scientist",120000,244
MI,FT,"Data Scientist",119059,245
EX,FT,"Lead Data Engineer",118187,246
MI,FT,"Data Scientist",118000,247
SE,FT,"Data Scientist",117789,248
MI,FT,"Data Engineer",117789,249
SE,FT,"Machine Learning Manager",117104,250
MI,FT,"Data Scientist",116914,251
SE,FT,"Data Analyst",116150,252
SE,FT,"Data Analyst",116000,253
SE,FT,"Data Analyst",115934,254
SE,FT,"Data Analyst",115934,255
MI,FT,"Data Analyst",115500,256
MI,FT,"Lead Data Scientist",115000,257
SE,FT,"Data Engineer",115000,258
MI,FT,"Data Scientist",115000,259
SE,FT,"Data Engineer",115000,260
SE,FT,"Data Engineer",115000,261
SE,FT,"Big Data Engineer",114047,262
SE,FT,"Director of Data Engineering",113476,263
SE,FT,"Data Engineer",113000,264
SE,FT,"Data Analyst",112900,265
SE,FT,"Data Analyst",112900,266
SE,FT,"Data Analyst",112900,267
SE,FT,"Data Analyst",112900,268
