employment_type,job_title,avg_salary,min_salary,max_salary
PT,"3D Computer Vision Researcher",5409.0000,5409,5409
FT,"AI Scientist",66135.5714,12000,200000
FT,"AI Scientist",66135.5714,12000,200000
PT,"AI Scientist",66135.5714,12000,200000
FT,"AI Scientist",66135.5714,12000,200000
PT,"AI Scientist",66135.5714,12000,200000
FT,"AI Scientist",66135.5714,12000,200000
FT,"AI Scientist",66135.5714,12000,200000
FT,"Analytics Engineer",175000.0000,135000,205300
FT,"Analytics Engineer",175000.0000,135000,205300
FT,"Analytics Engineer",175000.0000,135000,205300
FT,"Analytics Engineer",175000.0000,135000,205300
FT,"Applied Data Scientist",175655.0000,54238,380000
FT,"Applied Data Scientist",175655.0000,54238,380000
FT,"Applied Data Scientist",175655.0000,54238,380000
FT,"Applied Data Scientist",175655.0000,54238,380000
FT,"Applied Data Scientist",175655.0000,54238,380000
FT,"Applied Machine Learning Scientist",142068.7500,31875,423000
FT,"Applied Machine Learning Scientist",142068.7500,31875,423000
CT,"Applied Machine Learning Scientist",142068.7500,31875,423000
FT,"Applied Machine Learning Scientist",142068.7500,31875,423000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"BI Data Analyst",74755.1667,9272,150000
FT,"Big Data Architect",99703.0000,99703,99703
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Big Data Engineer",51974.0000,5882,114047
FT,"Business Data Analyst",76691.2000,18442,135000
FT,"Business Data Analyst",76691.2000,18442,135000
FT,"Business Data Analyst",76691.2000,18442,135000
FT,"Business Data Analyst",76691.2000,18442,135000
CT,"Business Data Analyst",76691.2000,18442,135000
FT,"Cloud Data Engineer",124647.0000,89294,160000
FT,"Cloud Data Engineer",124647.0000,89294,160000
PT,"Computer Vision Engineer",44419.3333,10000,125000
FT,"Computer Vision Engineer",44419.3333,10000,125000
FT,"Computer Vision Engineer",44419.3333,10000,125000
FT,"Computer Vision Engineer",44419.3333,10000,125000
FT,"Computer Vision Engineer",44419.3333,10000,125000
FL,"Computer Vision Engineer",44419.3333,10000,125000
FT,"Computer Vision Software Engineer",105248.6667,70000,150000
FT,"Computer Vision Software Engineer",105248.6667,70000,150000
FT,"Computer Vision Software Engineer",105248.6667,70000,150000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
PT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
FT,"Data Analyst",92893.0619,6072,200000
