MyUnknownColumn,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2020,SE,FT,"Machine Learning Scientist",260000,USD,260000,JP,0,JP,S
2,2020,SE,FT,"Big Data Engineer",85000,GBP,109024,GB,50,GB,M
4,2020,SE,FT,"Machine Learning Engineer",150000,USD,150000,US,50,US,L
6,2020,SE,FT,"Lead Data Scientist",190000,USD,190000,US,100,US,S
9,2020,SE,FT,"Lead Data Engineer",125000,USD,125000,NZ,50,NZ,S
17,2020,SE,FT,"Big Data Engineer",100000,EUR,114047,PL,100,GB,S
22,2020,SE,FT,"Data Engineer",42000,EUR,47899,GR,50,GR,L
27,2020,SE,FT,"Data Engineer",720000,MXN,33511,MX,0,MX,S
29,2020,SE,FT,"Machine Learning Manager",157000,CAD,117104,CA,50,CA,L
32,2020,SE,FT,"Data Scientist",60000,EUR,68428,GR,100,US,L
47,2020,SE,FT,"Data Engineer",188000,USD,188000,US,100,US,L
54,2020,SE,FL,"Computer Vision Engineer",60000,USD,60000,RU,100,US,S
55,2020,SE,FT,"Principal Data Scientist",130000,EUR,148261,DE,100,DE,M
58,2020,SE,FT,"Data Scientist",120000,USD,120000,US,50,US,L
63,2020,SE,FT,"Data Scientist",412000,USD,412000,US,100,US,L
64,2020,SE,FT,"Machine Learning Engineer",40000,EUR,45618,HR,100,HR,S
67,2020,SE,FT,"Data Science Manager",190200,USD,190200,US,100,US,M
69,2020,SE,FT,"Data Scientist",80000,EUR,91237,AT,0,AT,S
75,2021,SE,FT,"Data Scientist",45000,EUR,53192,FR,50,FR,L
80,2021,SE,FT,"Data Analytics Engineer",67000,EUR,79197,DE,100,DE,L
88,2021,SE,FT,"Lead Data Analyst",170000,USD,170000,US,100,US,L
89,2021,SE,FT,"Data Analyst",80000,USD,80000,BG,100,US,S
90,2021,SE,FT,"Marketing Data Analyst",75000,EUR,88654,GR,100,DK,L
93,2021,SE,FT,"Lead Data Engineer",276000,USD,276000,US,0,US,L
101,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,L
107,2021,SE,FT,"Data Engineer",115000,USD,115000,US,100,US,S
108,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,M
110,2021,SE,FT,"Machine Learning Engineer",80000,EUR,94564,DE,50,DE,L
111,2021,SE,FT,"Director of Data Engineering",82500,GBP,113476,GB,100,GB,M
112,2021,SE,FT,"Lead Data Engineer",75000,GBP,103160,GB,100,GB,S
121,2021,SE,FT,"Principal Data Engineer",200000,USD,200000,US,100,US,M
126,2021,SE,FT,"Machine Learning Scientist",120000,USD,120000,US,50,US,S
129,2021,SE,FT,"Lead Data Scientist",3000000,INR,40570,IN,50,IN,L
133,2021,SE,FT,"Computer Vision Engineer",24000,USD,24000,BR,100,BR,M
138,2021,SE,FT,"Principal Data Scientist",220000,USD,220000,US,0,US,L
141,2021,SE,FT,"Data Science Manager",240000,USD,240000,US,0,US,L
142,2021,SE,FT,"Data Engineering Manager",150000,USD,150000,US,0,US,L
145,2021,SE,FT,"Machine Learning Engineer",70000,EUR,82744,BE,50,BE,M
148,2021,SE,FT,"Data Engineering Manager",153000,USD,153000,US,100,US,L
149,2021,SE,FT,"Cloud Data Engineer",160000,USD,160000,BR,100,US,S
150,2021,SE,FT,"Director of Data Science",168000,USD,168000,JP,0,JP,S
154,2021,SE,FT,"Data Science Manager",144000,USD,144000,US,100,US,L
155,2021,SE,FT,"Data Science Engineer",159500,CAD,127221,CA,50,CA,L
158,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,100,US,M
165,2021,SE,FT,"Data Specialist",165000,USD,165000,US,100,US,L
173,2021,SE,FT,"Principal Data Scientist",235000,USD,235000,US,100,US,L
174,2021,SE,FT,"Research Scientist",51400,EUR,60757,PT,50,PT,L
175,2021,SE,FT,"Data Engineering Manager",174000,USD,174000,US,100,US,L
183,2021,SE,FT,"Finance Data Analyst",45000,GBP,61896,GB,50,GB,L
186,2021,SE,FT,"Data Analytics Engineer",50000,USD,50000,VN,100,GB,M
188,2021,SE,FT,"Data Engineer",65000,EUR,76833,RO,50,GB,S
190,2021,SE,FT,"Data Science Manager",152000,USD,152000,US,100,FR,L
193,2021,SE,FT,"Data Science Manager",174000,USD,174000,US,100,US,L
194,2021,SE,FT,"Research Scientist",120500,CAD,96113,CA,50,CA,L
197,2021,SE,FT,"Machine Learning Engineer",1799997,INR,24342,IN,100,IN,L
198,2021,SE,FT,"Data Science Manager",4000000,INR,54094,IN,50,US,L
201,2021,SE,FT,"Machine Learning Infrastructure Engineer",195000,USD,195000,US,100,US,M
203,2021,SE,FT,"Research Scientist",50000,USD,50000,FR,100,US,S
206,2021,SE,FT,"Machine Learning Engineer",200000,USD,200000,US,100,US,L
207,2021,SE,FT,"Data Engineer",165000,USD,165000,US,0,US,M
209,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,0,US,L
215,2021,SE,FT,"Principal Data Engineer",185000,USD,185000,US,100,US,L
219,2021,SE,FT,"Data Analytics Manager",140000,USD,140000,US,100,US,L
224,2021,SE,FT,"Machine Learning Scientist",225000,USD,225000,US,100,CA,L
226,2021,SE,FT,"Data Scientist",110000,CAD,87738,CA,100,CA,S
228,2021,SE,FT,"Data Scientist",135000,USD,135000,US,0,US,L
229,2021,SE,FT,"Data Analyst",90000,CAD,71786,CA,100,CA,M
231,2021,SE,FT,"ML Engineer",256000,USD,256000,US,100,US,S
232,2021,SE,FT,"Director of Data Engineering",200000,USD,200000,US,100,US,L
233,2021,SE,FT,"Data Analyst",200000,USD,200000,US,100,US,L
240,2021,SE,FT,"Data Scientist",130000,CAD,103691,CA,100,CA,L
243,2021,SE,FT,"Data Scientist",165000,USD,165000,US,100,US,L
248,2021,SE,FT,"Data Engineer",70000,GBP,96282,GB,50,GB,L
249,2021,SE,FT,"Principal Data Analyst",170000,USD,170000,US,100,US,M
255,2021,SE,FT,"Big Data Architect",125000,CAD,99703,CA,50,CA,M
257,2021,SE,FT,"Principal Data Scientist",147000,EUR,173762,DE,100,DE,M
258,2021,SE,FT,"Machine Learning Engineer",185000,USD,185000,US,50,US,L
261,2021,SE,FT,"Data Analyst",54000,EUR,63831,DE,50,DE,L
263,2021,SE,FT,"Machine Learning Engineer",4900000,INR,66265,IN,0,IN,L
265,2021,SE,FT,"Lead Data Engineer",160000,USD,160000,PR,50,US,S
271,2021,SE,FT,"Computer Vision Engineer",102000,BRL,18907,BR,0,BR,M
274,2021,SE,FT,"Data Scientist",65720,EUR,77684,FR,50,FR,M
277,2021,SE,FT,"AI Scientist",55000,USD,55000,ES,100,ES,L
278,2021,SE,FT,"Data Scientist",180000,TRY,20171,TR,50,TR,L
283,2021,SE,CT,"Staff Data Scientist",105000,USD,105000,US,100,US,M
285,2021,SE,FT,"Data Science Manager",7000000,INR,94665,IN,50,IN,L
286,2021,SE,FT,"Head of Data",87000,EUR,102839,SI,100,SI,L
289,2022,SE,FT,"Data Engineer",135000,USD,135000,US,100,US,M
290,2022,SE,FT,"Data Analyst",155000,USD,155000,US,100,US,M
291,2022,SE,FT,"Data Analyst",120600,USD,120600,US,100,US,M
296,2022,SE,FT,"Data Analyst",102100,USD,102100,US,100,US,M
297,2022,SE,FT,"Data Analyst",84900,USD,84900,US,100,US,M
298,2022,SE,FT,"Data Scientist",136620,USD,136620,US,100,US,M
299,2022,SE,FT,"Data Scientist",99360,USD,99360,US,100,US,M
300,2022,SE,FT,"Data Scientist",90000,GBP,117789,GB,0,GB,M
301,2022,SE,FT,"Data Scientist",80000,GBP,104702,GB,0,GB,M
302,2022,SE,FT,"Data Scientist",146000,USD,146000,US,100,US,M
303,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M
305,2022,SE,FT,"Data Analyst",99000,USD,99000,US,0,US,M
306,2022,SE,FT,"Data Analyst",116000,USD,116000,US,0,US,M
315,2022,SE,FT,"Data Scientist",165220,USD,165220,US,100,US,M
317,2022,SE,FT,"Data Scientist",120160,USD,120160,US,100,US,M
318,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
319,2022,SE,FT,"Data Engineer",181940,USD,181940,US,0,US,M
320,2022,SE,FT,"Data Engineer",132320,USD,132320,US,0,US,M
321,2022,SE,FT,"Data Engineer",220110,USD,220110,US,0,US,M
322,2022,SE,FT,"Data Engineer",160080,USD,160080,US,0,US,M
