job_title,avg(salary_in_usd)
"Data Scientist",108187.8322
"Machine Learning Scientist",158412.5000
"Big Data Engineer",51974.0000
"Product Data Analyst",13036.0000
"Machine Learning Engineer",104880.1463
"Data Analyst",92893.0619
"Lead Data Scientist",115190.0000
"Business Data Analyst",76691.2000
"Lead Data Engineer",139724.5000
"Lead Data Analyst",92203.0000
"Data Engineer",112725.0000
"Data Science Consultant",69420.7143
"BI Data Analyst",74755.1667
"Director of Data Science",195074.0000
"Research Scientist",109019.5000
"Machine Learning Manager",117104.0000
"Data Engineering Manager",123227.2000
"Machine Learning Infrastructure Engineer",101145.0000
"ML Engineer",117504.0000
"AI Scientist",66135.5714
"Computer Vision Engineer",44419.3333
"Principal Data Scientist",215242.4286
"Data Science Manager",158328.5000
"Head of Data",160162.6000
"3D Computer Vision Researcher",5409.0000
"Data Analytics Engineer",64799.2500
"Applied Data Scientist",175655.0000
"Marketing Data Analyst",88654.0000
"Cloud Data Engineer",124647.0000
"Financial Data Analyst",275000.0000
"Computer Vision Software Engineer",105248.6667
"Director of Data Engineering",156738.0000
"Data Science Engineer",75803.3333
"Principal Data Engineer",328333.3333
"Machine Learning Developer",85860.6667
"Applied Machine Learning Scientist",142068.7500
"Data Analytics Manager",127134.2857
"Head of Data Science",146718.7500
"Data Specialist",165000.0000
"Data Architect",177873.9091
"Finance Data Analyst",61896.0000
"Principal Data Analyst",122500.0000
"Big Data Architect",99703.0000
"Staff Data Scientist",105000.0000
"Analytics Engineer",175000.0000
"ETL Developer",54957.0000
"Head of Machine Learning",79039.0000
"NLP Engineer",37236.0000
"Lead Machine Learning Engineer",87932.0000
"Data Analytics Lead",405000.0000
