experience_level,employment_type,job_title,salary_in_usd,popularity
MI,PT,"3D Computer Vision Researcher",5409,1
MI,FT,"AI Scientist",200000,1
MI,FT,"AI Scientist",120000,2
SE,FT,"AI Scientist",55000,3
EN,FT,"AI Scientist",45896,4
EN,FT,"AI Scientist",18053,5
EN,PT,"AI Scientist",12000,6
EN,PT,"AI Scientist",12000,7
SE,FT,"Analytics Engineer",205300,1
SE,FT,"Analytics Engineer",184700,2
EX,FT,"Analytics Engineer",175000,3
EX,FT,"Analytics Engineer",135000,4
SE,FT,"Applied Data Scientist",380000,1
SE,FT,"Applied Data Scientist",177000,2
MI,FT,"Applied Data Scientist",157000,3
EN,FT,"Applied Data Scientist",110037,4
MI,FT,"Applied Data Scientist",54238,5
MI,FT,"Applied Machine Learning Scientist",423000,1
MI,FT,"Applied Machine Learning Scientist",75000,2
MI,FT,"Applied Machine Learning Scientist",38400,3
EN,CT,"Applied Machine Learning Scientist",31875,4
EX,FT,"BI Data Analyst",150000,1
MI,FT,"BI Data Analyst",100000,2
MI,FT,"BI Data Analyst",98000,3
EN,FT,"BI Data Analyst",55000,4
MI,FT,"BI Data Analyst",36259,5
EN,FT,"BI Data Analyst",9272,6
SE,FT,"Big Data Architect",99703,1
SE,FT,"Big Data Engineer",114047,1
SE,FT,"Big Data Engineer",109024,2
EN,FT,"Big Data Engineer",70000,3
MI,FT,"Big Data Engineer",60000,4
MI,FT,"Big Data Engineer",22611,5
MI,FT,"Big Data Engineer",18000,6
EN,FT,"Big Data Engineer",16228,7
EN,FT,"Big Data Engineer",5882,8
MI,FT,"Business Data Analyst",135000,1
EN,CT,"Business Data Analyst",100000,2
MI,FT,"Business Data Analyst",70912,3
EN,FT,"Business Data Analyst",59102,4
MI,FT,"Business Data Analyst",18442,5
SE,FT,"Cloud Data Engineer",160000,1
MI,FT,"Cloud Data Engineer",89294,2
EN,FT,"Computer Vision Engineer",125000,1
SE,FL,"Computer Vision Engineer",60000,2
EN,PT,"Computer Vision Engineer",28609,3
SE,FT,"Computer Vision Engineer",24000,4
SE,FT,"Computer Vision Engineer",18907,5
EN,FT,"Computer Vision Engineer",10000,6
EN,FT,"Computer Vision Software Engineer",150000,1
MI,FT,"Computer Vision Software Engineer",95746,2
EN,FT,"Computer Vision Software Engineer",70000,3
SE,FT,"Data Analyst",200000,1
SE,FT,"Data Analyst",170000,2
SE,FT,"Data Analyst",170000,3
SE,FT,"Data Analyst",170000,4
MI,FT,"Data Analyst",167000,5
SE,FT,"Data Analyst",164000,6
SE,FT,"Data Analyst",155000,7
SE,FT,"Data Analyst",150075,8
SE,FT,"Data Analyst",150000,9
SE,FT,"Data Analyst",136600,10
MI,FT,"Data Analyst",135000,11
SE,FT,"Data Analyst",135000,12
SE,FT,"Data Analyst",135000,13
MI,FT,"Data Analyst",135000,14
SE,FT,"Data Analyst",132000,15
SE,FT,"Data Analyst",130000,16
SE,FT,"Data Analyst",130000,17
EX,FT,"Data Analyst",130000,18
SE,FT,"Data Analyst",129000,19
SE,FT,"Data Analyst",128875,20
MI,FT,"Data Analyst",126500,21
SE,FT,"Data Analyst",126500,22
SE,FT,"Data Analyst",124190,23
SE,FT,"Data Analyst",120600,24
SE,FT,"Data Analyst",116150,25
SE,FT,"Data Analyst",116000,26
SE,FT,"Data Analyst",115934,27
SE,FT,"Data Analyst",115934,28
MI,FT,"Data Analyst",115500,29
SE,FT,"Data Analyst",112900,30
SE,FT,"Data Analyst",112900,31
SE,FT,"Data Analyst",112900,32
SE,FT,"Data Analyst",112900,33
SE,FT,"Data Analyst",110925,34
EX,FT,"Data Analyst",110000,35
SE,FT,"Data Analyst",109280,36
SE,FT,"Data Analyst",106260,37
MI,FT,"Data Analyst",106260,38
SE,FT,"Data Analyst",105000,39
SE,FT,"Data Analyst",102100,40
SE,FT,"Data Analyst",100000,41
SE,FT,"Data Analyst",100000,42
SE,FT,"Data Analyst",99050,43
SE,FT,"Data Analyst",99000,44
SE,FT,"Data Analyst",99000,45
SE,FT,"Data Analyst",93700,46
MI,FT,"Data Analyst",93000,47
EN,FT,"Data Analyst",91000,48
SE,FT,"Data Analyst",90320,49
SE,FT,"Data Analyst",90320,50
SE,FT,"Data Analyst",90320,51
SE,FT,"Data Analyst",90320,52
SE,FT,"Data Analyst",90320,53
MI,FT,"Data Analyst",90000,54
EN,FT,"Data Analyst",90000,55
MI,FT,"Data Analyst",85000,56
MI,FT,"Data Analyst",85000,57
SE,FT,"Data Analyst",84900,58
SE,FT,"Data Analyst",81666,59
SE,FT,"Data Analyst",81666,60
SE,FT,"Data Analyst",80000,61
EN,FT,"Data Analyst",80000,62
SE,FT,"Data Analyst",80000,63
MI,FT,"Data Analyst",80000,64
MI,FT,"Data Analyst",75000,65
MI,FT,"Data Analyst",75000,66
EN,FT,"Data Analyst",72000,67
SE,FT,"Data Analyst",71786,68
SE,FT,"Data Analyst",69000,69
EN,FT,"Data Analyst",67000,70
MI,FT,"Data Analyst",65438,71
SE,FT,"Data Analyst",63831,72
MI,FT,"Data Analyst",62000,73
SE,FT,"Data Analyst",61300,74
SE,FT,"Data Analyst",61300,75
SE,FT,"Data Analyst",60000,76
EN,FT,"Data Analyst",60000,77
EN,FT,"Data Analyst",59102,78
MI,FT,"Data Analyst",58000,79
MI,FT,"Data Analyst",58000,80
MI,FT,"Data Analyst",52351,81
EN,FT,"Data Analyst",52000,82
MI,FT,"Data Analyst",51519,83
EN,FT,"Data Analyst",50000,84
MI,FT,"Data Analyst",50000,85
MI,FT,"Data Analyst",46759,86
MI,FT,"Data Analyst",45807,87
MI,FT,"Data Analyst",43966,88
MI,FT,"Data Analyst",43966,89
MI,FT,"Data Analyst",39263,90
MI,FT,"Data Analyst",32974,91
MI,FT,"Data Analyst",32974,92
MI,FT,"Data Analyst",20000,93
EN,PT,"Data Analyst",10354,94
EN,FT,"Data Analyst",10000,95
MI,FT,"Data Analyst",8000,96
EN,FT,"Data Analyst",6072,97
MI,FT,"Data Analytics Engineer",110000,1
SE,FT,"Data Analytics Engineer",79197,2
SE,FT,"Data Analytics Engineer",50000,3
EN,FT,"Data Analytics Engineer",20000,4
SE,FT,"Data Analytics Lead",405000,1
SE,FT,"Data Analytics Manager",150260,1
SE,FT,"Data Analytics Manager",145000,2
SE,FT,"Data Analytics Manager",140000,3
SE,FT,"Data Analytics Manager",120000,4
SE,FT,"Data Analytics Manager",120000,5
SE,FT,"Data Analytics Manager",109280,6
SE,FT,"Data Analytics Manager",105400,7
SE,FT,"Data Architect",266400,1
SE,FT,"Data Architect",213120,2
SE,FT,"Data Architect",208775,3
SE,FT,"Data Architect",192564,4
SE,FT,"Data Architect",192400,5
MI,FT,"Data Architect",180000,6
MI,FT,"Data Architect",170000,7
MI,FT,"Data Architect",150000,8
SE,FT,"Data Architect",147800,9
SE,FT,"Data Architect",144854,10
SE,FT,"Data Architect",90700,11
EX,FT,"Data Engineer",324000,1
SE,FT,"Data Engineer",243900,2
EX,FT,"Data Engineer",242000,3
SE,FT,"Data Engineer",220110,4
SE,FT,"Data Engineer",220110,5
EX,FT,"Data Engineer",216000,6
SE,FT,"Data Engineer",210000,7
SE,FT,"Data Engineer",209100,8
SE,FT,"Data Engineer",209100,9
MI,FT,"Data Engineer",206699,10
SE,FT,"Data Engineer",200100,11
MI,FT,"Data Engineer",200000,12
MI,FT,"Data Engineer",200000,13
EX,FT,"Data Engineer",200000,14
SE,FT,"Data Engineer",188000,15
SE,FT,"Data Engineer",183600,16
SE,FT,"Data Engineer",181940,17
SE,FT,"Data Engineer",180000,18
SE,FT,"Data Engineer",175100,19
SE,FT,"Data Engineer",175000,20
MI,FT,"Data Engineer",170000,21
SE,FT,"Data Engineer",165400,22
SE,FT,"Data Engineer",165400,23
SE,FT,"Data Engineer",165000,24
SE,FT,"Data Engineer",160080,25
SE,FT,"Data Engineer",160080,26
SE,FT,"Data Engineer",160000,27
SE,FT,"Data Engineer",160000,28
SE,FT,"Data Engineer",160000,29
SE,FT,"Data Engineer",156600,30
SE,FT,"Data Engineer",155000,31
SE,FT,"Data Engineer",155000,32
SE,FT,"Data Engineer",154600,33
SE,FT,"Data Engineer",154600,34
SE,FT,"Data Engineer",154000,35
SE,FT,"Data Engineer",150000,36
SE,FT,"Data Engineer",150000,37
MI,FT,"Data Engineer",150000,38
SE,FT,"Data Engineer",145000,39
SE,FT,"Data Engineer",140250,40
MI,FT,"Data Engineer",140000,41
SE,FT,"Data Engineer",136994,42
SE,FT,"Data Engineer",136000,43
SE,FT,"Data Engineer",135000,44
SE,FT,"Data Engineer",132320,45
SE,FT,"Data Engineer",132320,46
SE,FT,"Data Engineer",132320,47
MI,FT,"Data Engineer",130800,48
SE,FT,"Data Engineer",130000,49
SE,FT,"Data Engineer",130000,50
SE,FT,"Data Engineer",128875,51
SE,FT,"Data Engineer",126000,52
EN,FT,"Data Engineer",120000,53
MI,FT,"Data Engineer",117789,54
SE,FT,"Data Engineer",115000,55
SE,FT,"Data Engineer",115000,56
SE,FT,"Data Engineer",115000,57
SE,FT,"Data Engineer",113000,58
MI,FT,"Data Engineer",112872,59
MI,FT,"Data Engineer",112000,60
MI,FT,"Data Engineer",111775,61
SE,FT,"Data Engineer",110500,62
MI,FT,"Data Engineer",110000,63
MI,FT,"Data Engineer",110000,64
SE,FT,"Data Engineer",108800,65
MI,FT,"Data Engineer",106000,66
SE,FT,"Data Engineer",105000,67
MI,FT,"Data Engineer",104702,68
SE,FT,"Data Engineer",101570,69
SE,FT,"Data Engineer",100800,70
SE,FT,"Data Engineer",100000,71
SE,FT,"Data Engineer",100000,72
MI,FT,"Data Engineer",100000,73
MI,FT,"Data Engineer",99100,74
MI,FT,"Data Engineer",98158,75
MI,FT,"Data Engineer",98158,76
SE,FT,"Data Engineer",96282,77
SE,FT,"Data Engineer",93700,78
MI,FT,"Data Engineer",93150,79
MI,FT,"Data Engineer",91614,80
MI,FT,"Data Engineer",90000,81
MI,FT,"Data Engineer",87932,82
MI,FT,"Data Engineer",87932,83
MI,FT,"Data Engineer",82900,84
MI,FT,"Data Engineer",82528,85
SE,FT,"Data Engineer",80000,86
EN,FT,"Data Engineer",80000,87
MI,FT,"Data Engineer",78526,88
SE,FT,"Data Engineer",78526,89
MI,FT,"Data Engineer",78526,90
MI,FT,"Data Engineer",78526,91
MI,FT,"Data Engineer",76940,92
MI,FT,"Data Engineer",76940,93
SE,FT,"Data Engineer",76833,94
MI,FT,"Data Engineer",74130,95
EN,FT,"Data Engineer",72500,96
