MyUnknownColumn,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
4,2020,SE,FT,"Machine Learning Engineer",150000,USD,150000,US,50,US,L
6,2020,SE,FT,"Lead Data Scientist",190000,USD,190000,US,100,US,S
8,2020,MI,FT,"Business Data Analyst",135000,USD,135000,US,100,US,L
9,2020,SE,FT,"Lead Data Engineer",125000,USD,125000,NZ,50,NZ,S
17,2020,SE,FT,"Big Data Engineer",100000,EUR,114047,PL,100,GB,S
24,2020,MI,FT,"Lead Data Scientist",115000,USD,115000,AE,0,AE,L
28,2020,EN,CT,"Business Data Analyst",100000,USD,100000,US,100,US,L
29,2020,SE,FT,"Machine Learning Manager",157000,CAD,117104,CA,50,CA,L
36,2020,MI,FT,"Data Science Consultant",103000,USD,103000,US,100,US,L
39,2020,EN,FT,"Machine Learning Engineer",138000,USD,138000,US,100,US,S
43,2020,MI,FT,"Data Engineer",106000,USD,106000,US,100,US,L
47,2020,SE,FT,"Data Engineer",188000,USD,188000,US,100,US,L
48,2020,MI,FT,"Data Scientist",105000,USD,105000,US,100,US,L
55,2020,SE,FT,"Principal Data Scientist",130000,EUR,148261,DE,100,DE,M
57,2020,MI,FT,"Data Scientist",118000,USD,118000,US,100,US,M
58,2020,SE,FT,"Data Scientist",120000,USD,120000,US,50,US,L
59,2020,MI,FT,"Data Scientist",138350,USD,138350,US,100,US,M
60,2020,MI,FT,"Data Engineer",110000,USD,110000,US,100,US,L
61,2020,MI,FT,"Data Engineer",130800,USD,130800,ES,100,US,M
67,2020,SE,FT,"Data Science Manager",190200,USD,190200,US,100,US,M
68,2020,EN,FT,"Data Scientist",105000,USD,105000,US,100,US,S
73,2021,EX,FT,"BI Data Analyst",150000,USD,150000,IN,100,US,L
76,2021,MI,FT,"BI Data Analyst",100000,USD,100000,US,100,US,M
81,2021,MI,FT,"Data Engineer",140000,USD,140000,US,100,US,L
84,2021,EX,FT,"Director of Data Science",130000,EUR,153667,IT,100,PL,L
85,2021,MI,FT,"Data Engineer",110000,PLN,28476,PL,100,PL,L
87,2021,MI,FT,"Data Analytics Engineer",110000,USD,110000,US,100,US,L
88,2021,SE,FT,"Lead Data Analyst",170000,USD,170000,US,100,US,L
95,2021,MI,FT,"Cloud Data Engineer",120000,SGD,89294,SG,50,SG,L
101,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,L
107,2021,SE,FT,"Data Engineer",115000,USD,115000,US,100,US,S
108,2021,SE,FT,"Data Engineer",150000,USD,150000,US,100,US,M
119,2021,MI,FT,"Data Engineer",200000,USD,200000,US,100,US,L
121,2021,SE,FT,"Principal Data Engineer",200000,USD,200000,US,100,US,M
125,2021,MI,FT,"Principal Data Scientist",151000,USD,151000,US,100,US,L
126,2021,SE,FT,"Machine Learning Scientist",120000,USD,120000,US,50,US,S
130,2021,EN,FT,"Machine Learning Developer",100000,USD,100000,IQ,50,IQ,S
134,2021,EN,FT,"Data Scientist",100000,USD,100000,US,0,US,S
140,2021,MI,FT,"Data Analyst",135000,USD,135000,US,100,US,L
142,2021,SE,FT,"Data Engineering Manager",150000,USD,150000,US,0,US,L
144,2021,MI,FT,"Data Engineer",100000,USD,100000,US,100,US,L
148,2021,SE,FT,"Data Engineering Manager",153000,USD,153000,US,100,US,L
149,2021,SE,FT,"Cloud Data Engineer",160000,USD,160000,BR,100,US,S
150,2021,SE,FT,"Director of Data Science",168000,USD,168000,JP,0,JP,S
151,2021,MI,FT,"Data Scientist",150000,USD,150000,US,100,US,M
154,2021,SE,FT,"Data Science Manager",144000,USD,144000,US,100,US,L
155,2021,SE,FT,"Data Science Engineer",159500,CAD,127221,CA,50,CA,L
156,2021,MI,FT,"Data Scientist",160000,SGD,119059,SG,100,IL,M
158,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,100,US,M
159,2021,EN,FT,"Machine Learning Engineer",125000,USD,125000,US,100,US,S
164,2021,EX,FT,"Director of Data Science",110000,EUR,130026,DE,50,DE,M
165,2021,SE,FT,"Data Specialist",165000,USD,165000,US,100,US,L
169,2021,MI,FT,"Data Architect",150000,USD,150000,US,100,US,L
170,2021,MI,FT,"Data Architect",170000,USD,170000,US,100,US,L
175,2021,SE,FT,"Data Engineering Manager",174000,USD,174000,US,100,US,L
190,2021,SE,FT,"Data Science Manager",152000,USD,152000,US,100,FR,L
193,2021,SE,FT,"Data Science Manager",174000,USD,174000,US,100,US,L
194,2021,SE,FT,"Research Scientist",120500,CAD,96113,CA,50,CA,L
195,2021,MI,FT,"Data Scientist",147000,USD,147000,US,50,US,L
201,2021,SE,FT,"Machine Learning Infrastructure Engineer",195000,USD,195000,US,100,US,M
204,2021,MI,FT,"Data Scientist",160000,USD,160000,US,100,US,L
206,2021,SE,FT,"Machine Learning Engineer",200000,USD,200000,US,100,US,L
207,2021,SE,FT,"Data Engineer",165000,USD,165000,US,0,US,M
209,2021,SE,FT,"Data Analytics Manager",120000,USD,120000,US,0,US,L
215,2021,SE,FT,"Principal Data Engineer",185000,USD,185000,US,100,US,L
216,2021,EN,PT,"Computer Vision Engineer",180000,DKK,28609,DK,50,DK,S
219,2021,SE,FT,"Data Analytics Manager",140000,USD,140000,US,100,US,L
220,2021,MI,FT,"Machine Learning Engineer",180000,PLN,46597,PL,100,PL,L
226,2021,SE,FT,"Data Scientist",110000,CAD,87738,CA,100,CA,S
228,2021,SE,FT,"Data Scientist",135000,USD,135000,US,0,US,L
232,2021,SE,FT,"Director of Data Engineering",200000,USD,200000,US,100,US,L
