experience_level,employment_type,job_title,salary_in_usd,popularity,popularity_r,popularity_dr
EX,FT,"Principal Data Engineer",600000,1,1,1
MI,FT,"Research Scientist",450000,2,2,2
MI,FT,"Financial Data Analyst",450000,3,2,2
MI,FT,"Applied Machine Learning Scientist",423000,4,4,3
EX,CT,"Principal Data Scientist",416000,5,5,4
SE,FT,"Data Scientist",412000,6,6,5
SE,FT,"Data Analytics Lead",405000,7,7,6
SE,FT,"Applied Data Scientist",380000,8,8,7
EX,FT,"Director of Data Science",325000,9,9,8
EX,FT,"Data Engineer",324000,10,10,9
SE,FT,"Lead Data Engineer",276000,11,11,10
MI,CT,"ML Engineer",270000,12,12,11
SE,FT,"Data Architect",266400,13,13,12
SE,FT,"Machine Learning Scientist",260000,14,14,13
SE,FT,"Data Scientist",260000,15,14,13
SE,FT,"ML Engineer",256000,16,16,14
EN,FT,"Machine Learning Engineer",250000,17,17,15
EX,FT,"Director of Data Science",250000,18,17,15
SE,FT,"Data Engineer",243900,19,19,16
EX,FT,"Data Engineer",242000,20,20,17
MI,FT,"Data Science Manager",241000,21,21,18
SE,FT,"Data Science Manager",240000,22,22,19
EX,FT,"Head of Data",235000,23,23,20
SE,FT,"Principal Data Scientist",235000,24,23,20
EX,FT,"Head of Data",230000,25,25,21
SE,FT,"Data Scientist",230000,26,25,21
SE,FT,"Data Scientist",230000,27,25,21
EN,FT,"Machine Learning Scientist",225000,28,28,22
SE,FT,"Machine Learning Scientist",225000,29,28,22
EX,FT,"Head of Data Science",224000,30,30,23
SE,FT,"Data Engineer",220110,31,31,24
SE,FT,"Data Engineer",220110,32,31,24
SE,FT,"Principal Data Scientist",220000,33,33,25
SE,FT,"Data Scientist",220000,34,33,25
SE,FT,"Machine Learning Engineer",220000,35,33,25
EX,FT,"Data Engineer",216000,36,36,26
SE,FT,"Data Scientist",215300,37,37,27
SE,FT,"Data Scientist",215300,38,37,27
SE,FT,"Machine Learning Engineer",214000,39,39,28
SE,FT,"Data Architect",213120,40,40,29
SE,FT,"Data Scientist",211500,41,41,30
SE,FT,"Data Engineer",210000,42,42,31
SE,FT,"Data Scientist",210000,43,42,31
SE,FT,"Data Scientist",210000,44,42,31
SE,FT,"Data Scientist",210000,45,42,31
SE,FT,"Data Scientist",210000,46,42,31
SE,FT,"Data Engineer",209100,47,47,32
SE,FT,"Data Engineer",209100,48,47,32
SE,FT,"Data Architect",208775,49,49,33
MI,FT,"Data Engineer",206699,50,50,34
SE,FT,"Data Scientist",205300,51,51,35
SE,FT,"Data Scientist",205300,52,51,35
SE,FT,"Analytics Engineer",205300,53,51,35
SE,FT,"Data Engineer",200100,54,54,36
MI,FT,"Data Engineer",200000,55,55,37
SE,FT,"Principal Data Engineer",200000,56,55,37
SE,FT,"Machine Learning Engineer",200000,57,55,37
SE,FT,"Director of Data Engineering",200000,58,55,37
SE,FT,"Data Analyst",200000,59,55,37
MI,FT,"Data Engineer",200000,60,55,37
EX,FT,"Data Engineer",200000,61,55,37
MI,FT,"Data Scientist",200000,62,55,37
SE,FT,"Head of Data",200000,63,55,37
MI,FT,"AI Scientist",200000,64,55,37
EX,FT,"Director of Data Science",196979,65,65,38
SE,FT,"Machine Learning Infrastructure Engineer",195000,66,66,39
SE,FT,"Machine Learning Engineer",192600,67,67,40
SE,FT,"Data Architect",192564,68,68,41
SE,FT,"Data Architect",192400,69,69,42
SE,FT,"Data Science Manager",190200,70,70,43
SE,FT,"Lead Data Scientist",190000,71,71,44
SE,FT,"Machine Learning Engineer",189650,72,72,45
SE,FT,"Machine Learning Engineer",189650,73,72,45
SE,FT,"Data Engineer",188000,74,74,46
MI,FT,"Research Scientist",187442,75,75,47
SE,FT,"Data Scientist",185100,76,76,48
SE,FT,"Principal Data Engineer",185000,77,77,49
SE,FT,"Machine Learning Engineer",185000,78,77,49
SE,FT,"Analytics Engineer",184700,79,79,50
SE,FT,"Data Engineer",183600,80,80,51
MI,FT,"Data Scientist",183228,81,81,52
SE,FT,"Data Engineer",181940,82,82,53
MI,FT,"Data Architect",180000,83,83,54
SE,FT,"Data Scientist",180000,84,83,54
SE,FT,"Data Scientist",180000,85,83,54
SE,FT,"Data Scientist",180000,86,83,54
SE,FT,"Data Engineer",180000,87,83,54
SE,FT,"Applied Data Scientist",177000,88,88,55
SE,FT,"Data Scientist",176000,89,89,56
SE,FT,"Data Engineer",175100,90,90,57
EX,FT,"Analytics Engineer",175000,91,91,58
SE,FT,"Data Engineer",175000,92,91,58
SE,FT,"Data Engineering Manager",174000,93,93,59
SE,FT,"Data Science Manager",174000,94,93,59
