MyUnknownColumn,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
289,2022,SE,FT,"Data Engineer",135000,USD,135000,US,100,US,M
290,2022,SE,FT,"Data Analyst",155000,USD,155000,US,100,US,M
291,2022,SE,FT,"Data Analyst",120600,USD,120600,US,100,US,M
292,2022,MI,FT,"Data Scientist",130000,USD,130000,US,0,US,M
293,2022,MI,FT,"Data Scientist",90000,USD,90000,US,0,US,M
294,2022,MI,FT,"Data Engineer",170000,USD,170000,US,100,US,M
295,2022,MI,FT,"Data Engineer",150000,USD,150000,US,100,US,M
296,2022,SE,FT,"Data Analyst",102100,USD,102100,US,100,US,M
297,2022,SE,FT,"Data Analyst",84900,USD,84900,US,100,US,M
298,2022,SE,FT,"Data Scientist",136620,USD,136620,US,100,US,M
299,2022,SE,FT,"Data Scientist",99360,USD,99360,US,100,US,M
300,2022,SE,FT,"Data Scientist",90000,GBP,117789,GB,0,GB,M
301,2022,SE,FT,"Data Scientist",80000,GBP,104702,GB,0,GB,M
302,2022,SE,FT,"Data Scientist",146000,USD,146000,US,100,US,M
303,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M
304,2022,EN,FT,"Data Engineer",40000,GBP,52351,GB,100,GB,M
305,2022,SE,FT,"Data Analyst",99000,USD,99000,US,0,US,M
306,2022,SE,FT,"Data Analyst",116000,USD,116000,US,0,US,M
307,2022,MI,FT,"Data Analyst",106260,USD,106260,US,0,US,M
308,2022,MI,FT,"Data Analyst",126500,USD,126500,US,0,US,M
309,2022,EX,FT,"Data Engineer",242000,USD,242000,US,100,US,M
310,2022,EX,FT,"Data Engineer",200000,USD,200000,US,100,US,M
311,2022,MI,FT,"Data Scientist",50000,GBP,65438,GB,0,GB,M
312,2022,MI,FT,"Data Scientist",30000,GBP,39263,GB,0,GB,M
313,2022,MI,FT,"Data Engineer",60000,GBP,78526,GB,0,GB,M
314,2022,MI,FT,"Data Engineer",40000,GBP,52351,GB,0,GB,M
315,2022,SE,FT,"Data Scientist",165220,USD,165220,US,100,US,M
316,2022,EN,FT,"Data Engineer",35000,GBP,45807,GB,100,GB,M
317,2022,SE,FT,"Data Scientist",120160,USD,120160,US,100,US,M
318,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
319,2022,SE,FT,"Data Engineer",181940,USD,181940,US,0,US,M
320,2022,SE,FT,"Data Engineer",132320,USD,132320,US,0,US,M
321,2022,SE,FT,"Data Engineer",220110,USD,220110,US,0,US,M
322,2022,SE,FT,"Data Engineer",160080,USD,160080,US,0,US,M
323,2022,SE,FT,"Data Scientist",180000,USD,180000,US,0,US,L
324,2022,SE,FT,"Data Scientist",120000,USD,120000,US,0,US,L
325,2022,SE,FT,"Data Analyst",124190,USD,124190,US,100,US,M
326,2022,EX,FT,"Data Analyst",130000,USD,130000,US,100,US,M
327,2022,EX,FT,"Data Analyst",110000,USD,110000,US,100,US,M
328,2022,SE,FT,"Data Analyst",170000,USD,170000,US,100,US,M
329,2022,MI,FT,"Data Analyst",115500,USD,115500,US,100,US,M
330,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M
331,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
332,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M
333,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M
334,2022,SE,FT,"Data Engineer",165400,USD,165400,US,100,US,M
335,2022,SE,FT,"Data Engineer",132320,USD,132320,US,100,US,M
336,2022,MI,FT,"Data Analyst",167000,USD,167000,US,100,US,M
337,2022,SE,FT,"Data Engineer",243900,USD,243900,US,100,US,M
338,2022,SE,FT,"Data Analyst",136600,USD,136600,US,100,US,M
339,2022,SE,FT,"Data Analyst",109280,USD,109280,US,100,US,M
340,2022,SE,FT,"Data Engineer",128875,USD,128875,US,100,US,M
341,2022,SE,FT,"Data Engineer",93700,USD,93700,US,100,US,M
342,2022,EX,FT,"Head of Data Science",224000,USD,224000,US,100,US,M
343,2022,EX,FT,"Head of Data Science",167875,USD,167875,US,100,US,M
344,2022,EX,FT,"Analytics Engineer",175000,USD,175000,US,100,US,M
345,2022,SE,FT,"Data Engineer",156600,USD,156600,US,100,US,M
346,2022,SE,FT,"Data Engineer",108800,USD,108800,US,0,US,M
347,2022,SE,FT,"Data Scientist",95550,USD,95550,US,0,US,M
348,2022,SE,FT,"Data Engineer",113000,USD,113000,US,0,US,L
349,2022,SE,FT,"Data Analyst",135000,USD,135000,US,100,US,M
350,2022,SE,FT,"Data Science Manager",161342,USD,161342,US,100,US,M
351,2022,SE,FT,"Data Science Manager",137141,USD,137141,US,100,US,M
352,2022,SE,FT,"Data Scientist",167000,USD,167000,US,100,US,M
353,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M
354,2022,SE,FT,"Data Engineer",60000,GBP,78526,GB,0,GB,M
355,2022,SE,FT,"Data Engineer",50000,GBP,65438,GB,0,GB,M
356,2022,SE,FT,"Data Scientist",150000,USD,150000,US,0,US,M
